uri,date_status,window_years,dates,citation,candidate_people,contributions,subject_labels
http://www.sudoc.fr/280895666/id,catalogued_year_in_window,2024,2024,"Hommes et femmes dans l'Antiquité grecque et romaine  / Sandra Boehringer, Violaine Sebillotte Cuchet/ 2e édition / Malakoff : Armand Colin , DL 2024",Violaine Sebillotte-Cuchet,http://www.idref.fr/108540952/id pbd,Rôle selon le sexe; Relations hommes-femmes; Études sur le genre
http://www.sudoc.fr/280909306/id,catalogued_year_in_window,2024,2024,"Guerre et paix dans le monde du XIXe au XXIe siècle  / sous la direction de Rémy Pech et Gilles Candar  ; avec les contributions de Sylvain Venayre, Rémy Cazals, Nadine Picaudou-Catusse ... [et al.] / Toulouse : Privat , DL 2024",Rémy Cazals,http://www.idref.fr/026773546/id aut,"Guerre; Jaurès, Jean (1859-1914); Relations internationales -- Histoire; Paix"
http://www.sudoc.fr/280993439/id,catalogued_year_in_window,2021,2021,"Banana cultures  : agriculture, consumption, and environmental change in Honduras and the United States  / John Soluri / Austin : University of Texas Press , 2021",John Soluri,http://www.idref.fr/104617160/id aut,Bananes; Environnement
http://www.sudoc.fr/281504164/id,catalogued_year_in_window,2024,2024,"Une brève histoire de la Terre  : quatre milliards d'années en huit chapitres  / Andrew H. Knoll  / traduit de l'anglais par Corinne Smith / [Paris] : LLL, les Liens qui libèrent , DL 2024",Andrew H. Knoll,http://www.idref.fr/076349071/id aut,Terre -- Origines; Environnement; Géologie; Géologie historique; Origine de la vie
http://www.sudoc.fr/281774862/id,catalogued_year_in_window,2024,2024,"100 fiches pour comprendre l'histoire grecque  : VIIIe-Ier siècle av. J.-C.  / Violaine Sebillotte Cuchet,.../ 6e édition / [Paris] : Bréal , DL 2024",Violaine Sebillotte-Cuchet,http://www.idref.fr/108540952/id aut,Grèce -- 800-500 av. J.-C. (Époque archaïque); Grèce -- 499-323 av. J.-C. (Époque classique); Grèce -- 323-146 av. J.-C. (Époque hellénistique); Manuels d'enseignement supérieur
http://www.sudoc.fr/282239405/id,catalogued_year_in_window,2023,2023,"Electric Indiana  : the rise and fall of the world's greatest interurban railway center, 1893-1941  / Carlos Arnaldo Schwantes / Bloomington (Ind.) : Indiana University Press , 2023",Carlos A. Schwantes,http://www.idref.fr/028923391/id aut,Métros
http://www.sudoc.fr/28233226X/id,catalogued_year_in_window,2025,2025,"Water in world history  / Ellen F. Arnold / New York (N.Y.) : Routledge , 2025",Ellen Fenzel Arnold,http://www.idref.fr/168373254/id aut,Nature -- Effets de l'homme; Gestion des ressources en eau; Hydrologie; Eau et civilisation; Approvisionnement en eau; Sécurité de l'eau
http://www.sudoc.fr/282505075/id,catalogued_year_in_window,2024,2024,"The Routledge handbook of environmental history  / edited by Emily O'Gorman, William San Martín, Mark Carey and Sandra Swart / Abingdon, Oxon : Routledge , 2024",Mark Carey,http://www.idref.fr/148945821/id pbd,Protection de l'environnement; Écologie humaine; Environnement
http://www.sudoc.fr/283368063/id,catalogued_year_in_window,2025,2025,"Missionnaires italiens et enseignement en Égypte (1890-1970)  : de la pastorale migratoire à la coopération technique  / Annalaura Turiano / Le Caire : Institut français d'archéologie orientale , 2025",Annalaura Turiano,http://www.idref.fr/198374852/id aut,Société salésienne de saint Jean Bosco; Missionnaires italiens; Relations extérieures -- Italie; Écoles professionnelles
http://www.sudoc.fr/283415975/id,catalogued_year_in_window,2021,2021,"Banana cultures  : agriculture, consumption, and environmental change in Honduras and the United States  / John Soluri / Austin : University of Texas Press , 2021",John Soluri,http://www.idref.fr/104617160/id aut,Bananes; Environnement
