qid,label,discovery_cohorts,idref,gnd,bnf,viaf,lc,control,inherited_atlas_person_ids
Q107310099,Taylor Craig Zajicek,environmental_history,,,,,,False,
Q107350272,Michal Ďurčo,environmental_history,,,,316806113,,False,
Q107455124,David Pietz,environmental_history,191812749,,16983766s,6934345,no00033859,False,
Q107708518,Kathryn Norberg,gender_history,050128167,132935481,12703642z,108633569; 8126165628862942480009,n84041794,False,
Q108132892,Andrew Hoaen,environmental_history,,,,,,False,
Q1081394,Christian Pfister,environmental_history,03270657X,124217338,123685324,100970251,n81045976,False,
Q108352632,Sara T. Damiano,gender_history,256997098,1235760502,,12159335306112961926,n2020033952,False,
Q108572543,Jen Manion,gender_adjacent,09228079X,1080267425,17795425v,53538640,n2004030332,False,
Q108658778,Laura J. Martin,environmental_history,,1259928934,,293163331895702640310,no2021112388,False,
Q108697345,Dobrochna Kałwa,gender_adjacent,098244329,1216447403,165290938,103401359,n2001091737,False,
Q108752555,Geoffrey Hope,environmental_history,151834571,,,61304174,no2006087288,False,
Q108813616,William Hiscott,gender_adjacent,230010792,1077054645,177441770,220707951,no2011194014,False,
Q108818571,Martina Gugglberger,gender_adjacent,,1070503487,,311778597,no2014150918,False,
Q108864022,Christine DeLucia,environmental_history,,,,26151963647200310009,no2018017558,False,
Q108880349,Patricia Cayo Sexton,labour_history,033568286,1074415000,124423697,44392143,n50001419,False,
Q109000109,Marjoleine Kars,gender_history,079120458,1223882780,,1814529,n2001033715,False,
Q109289204,Sonya Michel,gender_adjacent,,172276071,,98056127,,False,
Q109301356,Bartow Elmore,environmental_history,185258077,1069425621,169706688,311144782733150825737,n2014034036,False,
Q109525,Heide Göttner-Abendroth,gender_adjacent,071591729,118142003,12174109d,79071485,n81131776,False,
Q109568695,Eric H. Ash,environmental_history,08769087X,132550024,150497285,2754916,no00082295,False,
Q1097678,Claudia Opitz,gender_adjacent,030642051,122717686,12201756k,61593617,n84235377,False,
Q110194511,Margaret Cook,environmental_history,,,,,,False,
Q110236383,David M. Gordon,environmental_history,108041581,131909142,150746734,119826302,no00043250,False,
Q110403260,Christoph Sonnlechner,environmental_history,159821096,133507025,16258350p,27971006,no2010026508,False,
Q110553041,Vincenzo Lagioia,gender_adjacent,193580411,111247045X,167466840,48634156,n2005039673,False,
Q110594703,Ross Coen,environmental_history,,,,,,False,
Q110741407,Eszter Varsa,gender_adjacent,,1226203825,,2160362563663500154,,False,
Q110892606,Eve Kornfeld,gender_adjacent,069564655,,,277051027,n97012885,False,
Q110984067,Almudena Domínguez Arranz,gender_history,026654687,1057050598,11886189n,1301216,n80004429,False,
Q111039959,Jenny Price,environmental_history,,,,165856030,no99039106,False,
Q111112,Peter Schöttler,labour_history,028480295,1036664554,12030762j,71405981,n85821623,False,
Q111207265,Anaïs Albert,gender_history,116444495,1064139841,155779381,12623519,,False,
Q111279625,Kathryn Edgerton-Tarpley,gender_adjacent,171535928,136377637,15899729x,61887709,n2007072856,False,
Q111288004,Douglas H. Strong,environmental_history,146674022,,,45672680,n83045917,False,
Q111288012,Joanne Marie Ferraro,gender_history,057048843,123705045,12966715n,14903194,n86863492,False,
Q111288032,Sarah S. Elkind,environmental_history,,137238541,,75627052,n98031150,False,
Q111288035,Thomas R. Cox,environmental_history,,,,270721458,n84202352,False,
Q111546845,Erika Lorraine Milam,environmental_history,150144245,140954643,16247823q,90459043,n2009040350,False,
Q111603161,Katherine French,gender_adjacent,069876789,1225129508,137403907,76492819,n96118147,False,
Q111604029,Linnette Vassell,gender_adjacent,,,,1901161211433240070001,n95060217,False,
Q111693679,Lynn Mahoney,gender_adjacent,,173777546,,5170944,n2003041222,False,
Q112128697,Kathryn Babayan,gender_adjacent,083745327,13629152X,14567694b,271716650,nr93018627,False,
Q112343009,Žoržeta Nazărska,gender_adjacent,,1159362424,,312706742,no98105771,False,
Q112343436,Katarina Larsen,environmental_history,,,,18161760372221642104,no2022122510,False,
Q112343661,Lorenza Perini,gender_adjacent,152267220,,16528732r,160838862,no2010201791,False,
Q112344046,Benjamin Reilly,environmental_history,286777037,1265206317,,1432166063368880560000,n2004016358,False,
Q112344167,Ruth Mostern,environmental_history,155295691,1017675279,16558276m,165548488,n2011002119,False,
Q112351326,Pavla Frýdlová,gender_adjacent,097858552,115411933,,14951357,,False,
Q112372808,Eva Kallabová,environmental_history,,,,84568791,,False,
Q112375156,Anne M. Boylan,gender_history,073952044,1128078139,158434346,110051724,n86062397,False,
Q112376680,Lauri Umansky,gender_adjacent,085192279,,,33721864,,False,
Q112435693,Jarmila Bajerová,gender_adjacent,,,,162792726,,False,
Q112436813,Dena Goodman,gender_adjacent,03043727X,139223576,12185194x,110626462,n88012706,False,
Q112443960,Jiří Riezner,environmental_history,,,,187027220,,False,
Q112463651,Christopher Dummitt,gender_adjacent,158152921,138420777,179289115,29059338,nb2007010966,False,
Q112469239,Galina Svetlojarovna Zelenina,gender_adjacent,22533576X,,,97159165,,False,
Q112471230,Lynette Hunter,gender_adjacent,028836731,106950825X,12058996r,27086693,n79005186,False,
Q112489494,Jill Fields,gender_adjacent,145040348,1147001634,,333153,,False,
Q112490826,Jelena Mrgić,environmental_history,144077779,138056234,,86263470,,False,
Q112493826,Theodore Catton,environmental_history,199223890,133641988,,21398338,,False,
Q112495425,Sarah S. Elkind,environmental_history,,,,9324165628869542480002,,False,
Q112500961,Martin Schmid,environmental_history,,,,295146513343132211063,,False,
Q112501429,Richard William Judd,environmental_history,128496851,132129736,16551886w,110632227,n87107800,False,
Q112503188,Mark Stoll,environmental_history,069671737,1076549519,14523304x,34691878,,False,
Q112503428,Clare Midgley,gender_adjacent,056908032,138976015,129400820,112839149,n92000634,False,
Q112506005,Paul Kelton,environmental_history,,,,59145542601396641916,,False,
Q112510585,Zrinka Blažević,gender_adjacent,240542746,,170931120,7449158127396015150001,no2003006775,False,
Q112510780,,gender_adjacent,,,,45149912494006211604,,False,
Q112510917,Karen R. Jones,environmental_history,181799669,136443265,167339210,34134468,no2002104926,False,
Q112511060,Bret Hinsch,gender_history; gender_adjacent,031064590,172138736,122354430,24655266,n89666198,False,
Q112513728,Ralph Matthew Leck,gender_adjacent,136155499,1102396893,,37835600,,False,
Q112514074,Shehong Chen,gender_adjacent,069029377,140382399,,58422524,,False,
Q112516407,Nicola Spakowski,gender_adjacent,034803610,,,44413316,,False,
Q112517762,Erika Diane Rappaport,gender_adjacent,074223925,172884020,,39549054,,False,
Q112517763,Chad Montrie,environmental_history,,,,6838160668117003560000,,False,
Q112517851,Valentina Sara Di Palma,gender_adjacent,,,,25152023627903310568,,False,
Q112518199,Neil M. Maher,environmental_history,145721434,132479982,,9253156,,False,
