person_id,label,has_node,rep_n,strand_n,entries
pablo_azcarate,Pablo Azcárate,False,1,1,memory
henry_rousso,Henry Rousso,False,1,1,memory
yosef_hayim_yerushalmi,Yosef Hayim Yerushalmi,False,1,1,memory
nicole_loraux,Nicole Loraux,False,1,1,memory
walter_easey,Walter Easey,False,1,1,historyworkshop
david_douglass,David Douglass,False,1,1,historyworkshop
robert_kelley,Robert Kelley,False,1,1,publichistory
g_wesley_johnson,G. Wesley Johnson,False,1,1,publichistory
roy_rosenzweig,Roy Rosenzweig,False,1,1,publichistory
david_thelen,David Thelen,False,1,1,publichistory
luli_callinicos,Luli Callinicos,False,1,1,publichistory
henry_sigerist,Henry E. Sigerist,False,1,1,medicalhistory
dorothy_porter_medical,Dorothy Porter,False,1,1,medicalhistory
barbara_duden,Barbara Duden,False,1,1,medicalhistory
megan_vaughan,Megan Vaughan,False,1,1,medicalhistory
h_j_dyos,H. J. Dyos,False,1,1,urbanhistory
sam_bass_warner,Sam Bass Warner Jr.,False,1,1,urbanhistory
thomas_sugrue,Thomas J. Sugrue,False,1,1,urbanhistory
anthony_d_king,Anthony D. King,False,1,1,urbanhistory
lynn_hollen_lees,Lynn Hollen Lees,False,1,1,urbanhistory
h_c_darby,H. C. Darby,False,1,1,spatialhistory
w_g_hoskins,W. G. Hoskins,False,1,1,spatialhistory
j_b_harley,J. B. Harley,False,1,1,spatialhistory
ian_gregory,Ian N. Gregory,False,1,1,spatialhistory
humphrey_southall,Humphrey Southall,False,1,1,spatialhistory
paul_carter,Paul Carter,False,1,1,spatialhistory
arthur_lovejoy,Arthur O. Lovejoy,False,1,1,intellectualhistory
masao_maruyama,Masao Maruyama,False,1,1,intellectualhistory
mikiso_hane,Mikiso Hane,False,1,1,intellectualhistory
sidney_webb,Sidney Webb,False,1,1,labourhistory
beatrice_webb,Beatrice Webb,False,1,1,labourhistory
f_w_galton,F. W. Galton,False,1,1,labourhistory
nancy_lurie,Nancy Oestreich Lurie,False,1,1,ethnohistory
erminie_wheeler_voegelin,Erminie Wheeler-Voegelin,False,1,1,ethnohistory
bruce_trigger,Bruce G. Trigger,False,1,1,ethnohistory
james_lockhart,James Lockhart,False,1,1,ethnohistory
john_murra,John V. Murra,False,1,1,ethnohistory
nathan_wachtel,Nathan Wachtel,False,1,1,ethnohistory
