?p	?g	?gLabel
<http://www.wikidata.org/entity/Q822286>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q822968>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q82984>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q83003>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q83331>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q834947>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q84186>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q84190>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q9147100>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q84717>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q8514887>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q85283878>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q85285840>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q85508>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q85809806>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q86130>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q86149>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
<http://www.wikidata.org/entity/Q86287>	<http://www.wikidata.org/entity/Q6581097>	"male"@en
