slug,source_dir,md5,bytes,lines,pages,title_guess,ocr_flag,dup_of,local_text_path,text_exists,text_sha256,review_status
defoe-complete-english-tradesman/pg14444,wiki_sources/defoe-complete-english-tradesman,750209d90edca08f9d9eae8bdd5ed9a1,701566,12252,1,The Project Gutenberg eBook of The Complete English Tradesman (1839 ed.),,,/home/jic823/capitalism/wiki_sources/defoe-complete-english-tradesman/pg14444.txt,True,6a4fe04013804b091fd76d2dbbf7f372ec955e19b1e358a82fc9c91ec2905e0e,inventory_only
defoe-tour-eastern-counties/pg983,wiki_sources/defoe-tour-eastern-counties,ce6cccb99e9c578a6a14d921bdc08abf,249868,4215,1,"The Project Gutenberg eBook of Tour through the Eastern Counties of England, 1722",,,/home/jic823/capitalism/wiki_sources/defoe-tour-eastern-counties/pg983.txt,True,3142f16bb269c08db55b9b5e9b5faa0602d0c0f143974ccd2a4f7172897b00d0,inventory_only
defoe-tour-yorkshire/letter8-part3-south-west-yorkshire,wiki_sources/defoe-tour-yorkshire,589965294ca2f124327a651192627726,57475,273,1,[Vision of Britain logo] A vision of Britain through time,,,/home/jic823/capitalism/wiki_sources/defoe-tour-yorkshire/letter8-part3-south-west-yorkshire.txt,True,8966e02260b006b3e88a1316a1bfd115408ccb0cbb3837a916cc94be8d626183,inventory_only
defoe-tour-yorkshire/letter8-part4-leeds-north-yorkshire,wiki_sources/defoe-tour-yorkshire,84c1bf121fe0c915d502190dc576b731,58078,364,1,[Vision of Britain logo] A vision of Britain through time,,,/home/jic823/capitalism/wiki_sources/defoe-tour-yorkshire/letter8-part4-leeds-north-yorkshire.txt,True,b0fe657dc7d58bb08f7657d363d2ad28c14488a175bcabd8ef5c2204481f1f34,inventory_only
eden-state-of-the-poor-vol1/ia_b28773135_0001,wiki_sources/eden-state-of-the-poor-vol1,9523f610c1a92a4f2413713e79453470,2112020,48692,1,"'::ll*#|pis^ iPt"":""",,,/home/jic823/capitalism/wiki_sources/eden-state-of-the-poor-vol1/ia_b28773135_0001.txt,True,c6f298db51aec4b92f16a88ce8de5d2ffa1fa988dbb113a32c913f173a88fe85,inventory_only
eden-state-of-the-poor-vol2/ia_b28773135_0002,wiki_sources/eden-state-of-the-poor-vol2,d36f0bb70889fdd295be290b0ddc90ba,1567220,153191,1,STATE  OF  THE  POOR:,,,/home/jic823/capitalism/wiki_sources/eden-state-of-the-poor-vol2/ia_b28773135_0002.txt,True,beb2626b0bbe0885699a59959e8e3cd24be73fb8fdec31c8dc6f649ed0cabb76,inventory_only
eden-state-of-the-poor-vol3/ia_b28773135_0003,wiki_sources/eden-state-of-the-poor-vol3,d9e1b59454dd41b83cb80b390882ff9a,2211655,161194,1,STATE  OF  THE  POOR:,,,/home/jic823/capitalism/wiki_sources/eden-state-of-the-poor-vol3/ia_b28773135_0003.txt,True,3605afa38be9940dc028ef4339290ce16b450428ae04bf2008151e8b9a5cfa8c,inventory_only
ellison-cotton-trade-great-britain/ia_cottontradeofgre00elli,wiki_sources/ellison-cotton-trade-great-britain,056bb6e9f479ae453b1684eae7e710a5,972783,36901,1,THE  COTTON  TRADE  OF  GREAT  BRITAIN.,,,/home/jic823/capitalism/wiki_sources/ellison-cotton-trade-great-britain/ia_cottontradeofgre00elli.txt,True,f2c50d8de78edb0616501e69d23e1b33e649a942b68b2abdc5be1cb9d0462e18,inventory_only
engels-condition-working-class-england/pg17306,wiki_sources/engels-condition-working-class-england,6b75e523ceac3f9d98b8c41d5caca608,736497,11346,1,The Project Gutenberg eBook of The Condition of the Working-Class in England in 1844,,,/home/jic823/capitalism/wiki_sources/engels-condition-working-class-england/pg17306.txt,True,25ff9b6ba4bef75632145e785f86acfaeeb0b437fd7f8f5409bf103eed7ae93b,inventory_only
guest-compendious-history-cotton/ia_compendioushisto00gues,wiki_sources/guest-compendious-history-cotton,42e25c8bc1de7c94a39a1b217359e5e1,181474,3500,1,e»vv>  p  e  v\,,,/home/jic823/capitalism/wiki_sources/guest-compendious-history-cotton/ia_compendioushisto00gues.txt,True,480d6c993b6d7a34d367184a17a0954cc03471797681e9aa7058dadee6021c0a,inventory_only
